year,tournament,start_date,end_date,location,court_surface,prize_money,currency,masters
2012,kosice_challenger,2012-06-11,2012-06-17,Slovakia,Clay,30000,€,100
2011,copa-milo---chile-deportes-2011_itf_juniors0,2011-02-14,2011-02-19,CHI,Clay,,,0
2011,copa-milo---chile-deportes-2011_itf_juniors1,2011-02-14,2011-02-19,CHI,Clay,,,0
2017,1st-tajikistan-tennis-federation-cup_itf_juniors1,2017-05-16,2017-05-21,TJK,Hard,,,0
2011,jalisco-junior-cup-2011_itf_juniors0,2011-02-14,2011-02-19,MEX,Clay,,,0
2011,jalisco-junior-cup-2011_itf_juniors1,2011-02-14,2011-02-19,MEX,Clay,,,0
2005,prague_challenger,2005-11-21,2005-11-27,Czechia,Carpet,25000,$,100
2011,3rd-kenya-international-junior-championship_itf_juniors0,2011-02-14,2011-02-19,KEN,Clay,,,0
2017,itf-junior-circuit-mozambique-leg-1_itf_juniors0,2017-05-22,2017-05-26,MOZ,Hard,,,0
2011,3rd-kenya-international-junior-championship_itf_juniors1,2011-02-14,2011-02-19,KEN,Clay,,,0
2002,togliatti_challenger,2002-07-15,2002-07-21,Russian Federation,Hard,25000,$,100
2011,itf-4-indoor-almere-2011_itf_juniors0,2011-02-15,2011-02-19,NED,Hard,,,0
2017,itf-junior-circuit-mozambique-leg-1_itf_juniors1,2017-05-22,2017-05-26,MOZ,Hard,,,0
2011,itf-4-indoor-almere-2011_itf_juniors1,2011-02-15,2011-02-19,NED,Hard,,,0
1997,france-1-masters_itf_procircuit2,1997-01-04,1997-02-02,FRA,Clay,,,25
2011,trofeul-d-sturdza_itf_juniors0,2011-02-15,2011-02-20,MDA,Carpet,,,0
2012,5th-malacca-itf-international-tennis-championships-2012_itf_juniors0,2012-02-27,2012-03-02,MAS,Hard,,,0
2011,trofeul-d-sturdza_itf_juniors1,2011-02-15,2011-02-20,MDA,Carpet,,,0
2003,togliatti_challenger,2003-07-14,2003-07-20,Russian Federation,Hard,25000,$,100
2011,el-salvador-junior-open_itf_juniors0,2011-02-21,2011-02-26,ESA,Hard,,,0
2017,itf-tbilisi-cup-2017_itf_juniors0,2017-05-22,2017-05-27,GEO,Hard,,,0
2011,el-salvador-junior-open_itf_juniors1,2011-02-21,2011-02-26,ESA,Hard,,,0
2012,5th-malacca-itf-international-tennis-championships-2012_itf_juniors1,2012-02-27,2012-03-02,MAS,Hard,,,0
2011,argentina-cup_itf_juniors0,2011-02-21,2011-02-26,ARG,Clay,,,0
2011,argentina-cup_itf_juniors1,2011-02-21,2011-02-26,ARG,Clay,,,0
2003,mordovia_challenger,2003-08-04,2003-08-10,Russian Federation,Clay,25000,$,100
2011,aivaras-balzekas-memorial-cup-2011_itf_juniors0,2011-02-22,2011-02-26,LTU,Carpet,,,0
2013,wichita-falls_itf_juniors0,2013-09-30,2013-10-05,USA,Hard,,,0
1997,france-1-masters_itf_procircuit3,1997-01-04,1997-02-02,FRA,Clay,,,25
2013,wichita-falls_itf_juniors1,2013-09-30,2013-10-05,USA,Hard,,,0
2013,27º-arthrom-tennis-cup_itf_juniors0,2013-09-30,2013-10-05,BRA,Clay,,,0
2013,27º-arthrom-tennis-cup_itf_juniors1,2013-09-30,2013-10-05,BRA,Clay,,,0
1972,caracas,1972-03-17,,Venezuela (Bolivarian Republic of),Hard,,,
2013,riad-21_itf_juniors0,2013-09-30,2013-10-05,MAR,Clay,,,0
2017,itf-tbilisi-cup-2017_itf_juniors1,2017-05-22,2017-05-27,GEO,Hard,,,0
2013,kaohsiung_challenger,2013-09-16,2013-09-22,"Taiwan, Province of China",Hard,125000,$,100
2013,riad-21_itf_juniors1,2013-09-30,2013-10-05,MAR,Clay,,,0
1997,france-1-masters_itf_procircuit0,1997-01-04,1997-02-02,FRA,Clay,,,25
