EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years,Length of service: Months
343,Inactive,28,Female,Undergraduate degree (Grado),2019-08-19,2019-09-30,Involuntary,End of contract,2019-08-19,People,People Operations,1,6047.0,EUR,Reduce/Increase Working hours,N,Unknown,No,"1 month, 11 days",0,1
468,Inactive,29,Male,Unknown,2016-07-05,2017-03-30,Involuntary,End of contract,2016-07-05,Engineering,Unknown,234,6144.0,EUR,Unknown,N,Unknown,No,"8 months, 25 days",0,8
458,Inactive,27,Male,Unknown,2016-09-05,2017-01-26,Involuntary,End of contract,2016-09-05,Engineering,Unknown,0,6144.0,EUR,Unknown,N,Unknown,No,"4 months, 21 days",0,4
379,Inactive,25,Male,Undergraduate degree (Grado),2017-10-23,2018-08-28,Involuntary,End of contract,2017-10-23,Engineering,Unknown,0,6144.0,EUR,New hire,N,Unknown,No,"10 months, 5 days",0,10
492,Inactive,58,Female,Unknown,2017-09-13,2017-09-29,Involuntary,End of contract,2017-09-13,People,Unknown,0,7200.0,EUR,Unknown,N,Unknown,No,16 days,0,0
570,Inactive,21,Male,High-school (Bachillerato),2020-03-09,2020-07-31,Involuntary,End of contract,2020-03-09,Strategy,Unknown,148,9984.0,EUR,Unknown,N,E0,No,"4 months, 22 days",0,4
676,Inactive,24,Female,Master/Postgraduate,2020-11-02,2021-04-16,Involuntary,End of contract,2020-11-02,Strategy,Strategy,148,11290.0,EUR,New hire,N,E0,No,"5 months, 14 days",0,5
410,Inactive,24,Male,Unknown,2018-06-25,2018-12-24,Involuntary,End of contract,2018-06-25,Engineering,Unknown,0,11341.0,EUR,Unknown,N,L0,No,"5 months, 29 days",0,6
752,Active,27,Male,Master/Postgraduate,2021-04-06,,,,2021-04-15,Marketing,Demand Generation,217,11520.0,EUR,New hire,N,E0,No,"1 month, 22 days",0,1
776,Active,23,Female,Master/Postgraduate,2021-05-17,,,,2021-05-17,Strategy,Strategy,148,11520.0,EUR,New hire,N,E0,No,11 days,0,0
336,Inactive,26,Female,Unknown,2016-06-27,2017-01-20,Involuntary,End of contract,2016-06-27,Marketing,Brand Marketing,0,12288.0,EUR,Unknown,N,Unknown,No,"6 months, 23 days",0,6
483,Inactive,31,Female,Master/Postgraduate,2017-03-20,2017-08-31,Involuntary,End of contract,2017-03-20,People,Unknown,0,12288.0,EUR,New hire,N,Unknown,No,"5 months, 11 days",0,5
387,Inactive,32,Female,Unknown,2017-07-03,2017-12-29,Involuntary,End of contract,2017-07-03,Data & Analytics,Unknown,0,12480.0,EUR,Unknown,N,Unknown,No,"5 months, 26 days",0,5
384,Inactive,37,Female,Unknown,2018-03-19,2018-07-12,Voluntary,Personal reasons,2018-03-19,Marketing,Brand Marketing,0,13824.0,EUR,Unknown,N,Unknown,No,"3 months, 24 days",0,3
620,Inactive,26,Female,Master/Postgraduate,2020-11-02,2021-01-29,Involuntary,End of contract,2020-11-02,Marketing,Demand Generation,544,14400.0,EUR,New hire,N,E0,No,"6 months, 8 days",0,2
481,Inactive,35,Male,Unknown,2017-03-27,2018-04-06,Involuntary,Low Performance,2017-03-27,Engineering,Unknown,0,16000.0,EUR,New hire,Y,Unknown,No,"1 year, 10 days",1,12
249,Active,27,Female,Undergraduate degree (Grado),2019-08-19,,,,2021-04-15,Finance & Legal,Legal,280,17200.0,EUR,Contract change,Y,E1,No,"1 year, 9 months, 9 days",1,21
451,Inactive,28,Female,Unknown,2017-02-27,2018-03-16,Involuntary,Low Performance,2017-02-27,Finance,Unknown,0,17600.0,EUR,Unknown,Y,Unknown,No,"1 year, 17 days",1,12
648,Inactive,29,Female,Undergraduate degree (Grado),2016-02-01,2016-10-14,Voluntary,No details given,2016-02-01,Customer Success,Unknown,0,18400.0,EUR,Contract change,Y,Unknown,No,"1 year, 1 day",1,8
144,Active,24,Female,Undergraduate degree (Grado),2019-05-17,,,,2021-04-15,Finance & Legal,Finance,568,18832.0,EUR,Merit increase,N,E1,No,"2 years, 11 days",2,24
488,Inactive,33,Female,Unknown,2017-05-29,2018-03-09,Involuntary,Low Performance,2017-05-29,People,Unknown,0,19200.0,EUR,Unknown,Y,Unknown,No,"9 months, 11 days",0,9
489,Inactive,34,Female,Unknown,2017-07-17,2018-10-28,Voluntary,Other employment,2018-09-01,Home,Unknown,0,19200.0,EUR,Unknown,Y,Unknown,No,"1 year, 3 months, 11 days",1,15
158,Inactive,31,Male,Unknown,2018-04-30,2020-09-30,Involuntary,Role no longer needed,2020-09-07,People & Home,Home,660,19200.0,EUR,Unknown,N,E1,No,"2 years, 5 months, 0 days",2,29
359,Inactive,41,Female,Secondary school (ESO),2018-12-10,2019-08-01,Involuntary,Low Performance,2018-12-10,Home,Unknown,1,19200.0,EUR,Unknown,Y,Unknown,No,"7 months, 22 days",0,7
155,Active,36,Female,Unknown,2014-12-01,,,,2021-04-15,People & Home,Home,660,20000.0,EUR,Merit increase,Y,E1,No,"6 years, 5 months, 27 days",6,79
487,Inactive,47,Female,Undergraduate degree (Grado),2018-04-03,2018-08-31,Involuntary,End of contract,2018-04-03,People,Unknown,0,20000.0,EUR,New hire,N,Unknown,No,"4 months, 28 days",0,5
587,Active,26,Male,Technical degree (FP),2020-04-20,,,,2021-04-15,Engineering,Corporate,267,20000.0,EUR,New hire,N,E1,No,"1 year, 1 month, 8 days",1,13
701,Active,27,Female,Master/Postgraduate,2021-01-11,,,,2021-04-15,Marketing,Brand Marketing,223,20800.0,EUR,New hire,N,E1,No,"4 months, 17 days",0,4
484,Inactive,35,Male,Unknown,2016-03-14,2017-08-31,Involuntary,Low Performance,2016-03-14,Finance,Unknown,0,21600.0,EUR,New hire,Y,Unknown,No,"1 year, 5 months, 17 days",1,17
123,Inactive,25,Female,Master/Postgraduate,2019-10-16,2020-03-08,Voluntary,Personal reasons,2019-10-16,People,People Operations,1,21600.0,EUR,New hire,N,E1,No,"4 months, 23 days",0,4
539,Active,29,Female,Undergraduate degree (Grado),2020-02-10,,,,2021-04-15,Customer Success,Customer Support,165,21600.0,EUR,New hire,N,E2,No,"1 year, 3 months, 18 days",1,15
581,Active,34,Female,Master/Postgraduate,2020-04-06,,,,2021-04-15,Design,Product Design,168,21600.0,EUR,New hire,N,E0,No,"1 year, 1 month, 22 days",1,13
612,Active,35,Male,Technical degree (FP),2020-06-02,,,,2021-04-15,Customer Success,Customer Support,165,21600.0,EUR,New hire,N,E2,No,"11 months, 26 days",0,12
728,Active,30,Female,Undergraduate degree (Grado),2021-03-08,,,,2021-04-15,Customer Success,Customer Support,165,21600.0,EUR,New hire,N,E2,No,"2 months, 20 days",0,2
