EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years
343,Inactive,28,Female,Undergraduate degree (Grado),19 Aug 2019,30 Sep 2019,Involuntary,End of contract,19 Aug 2019,People,People Operations,1,6047,EUR,Reduce/Increase Working hours,N,,No,"1 month, 11 days",0
468,Inactive,29,Male,Unknown,05 Jul 2016,30 Mar 2017,Involuntary,End of contract,05 Jul 2016,Engineering,,234,6144,EUR,,N,,No,"8 months, 25 days",0
458,Inactive,27,Male,Unknown,05 Sep 2016,26 Jan 2017,Involuntary,End of contract,05 Sep 2016,Engineering,,,6144,EUR,,N,,No,"4 months, 21 days",0
379,Inactive,25,Male,Undergraduate degree (Grado),23 Oct 2017,28 Aug 2018,Involuntary,End of contract,23 Oct 2017,Engineering,,,6144,EUR,New hire,N,,No,"10 months, 5 days",0
492,Inactive,58,Female,Unknown,13 Sep 2017,29 Sep 2017,Involuntary,End of contract,13 Sep 2017,People,,,7200,EUR,,N,,No,16 days,0
570,Inactive,21,Male,High-school (Bachillerato),09 Mar 2020,31 Jul 2020,Involuntary,End of contract,09 Mar 2020,Strategy,,148,9984,EUR,,N,E0,No,"4 months, 22 days",0
676,Inactive,24,Female,Master/Postgraduate,02 Nov 2020,16 Apr 2021,Involuntary,End of contract,02 Nov 2020,Strategy,Strategy,148,11290,EUR,New hire,N,E0,No,"5 months, 14 days",0
410,Inactive,24,Male,Unknown,25 Jun 2018,24 Dec 2018,Involuntary,End of contract,25 Jun 2018,Engineering,,,11341,EUR,,N,L0,No,"5 months, 29 days",0
752,Active,27,Male,Master/Postgraduate,06 Apr 2021,,,,15 Apr 2021,Marketing,Demand Generation,217,11520,EUR,New hire,N,E0,No,"1 month, 22 days",0
776,Active,23,Female,Master/Postgraduate,17 May 2021,,,,17 May 2021,Strategy,Strategy,148,11520,EUR,New hire,N,E0,No,11 days,0
336,Inactive,26,Female,Unknown,27 Jun 2016,20 Jan 2017,Involuntary,End of contract,27 Jun 2016,Marketing,Brand Marketing,,12288,EUR,,N,,No,"6 months, 23 days",0
483,Inactive,31,Female,Master/Postgraduate,20 Mar 2017,31 Aug 2017,Involuntary,End of contract,20 Mar 2017,People,,,12288,EUR,New hire,N,,No,"5 months, 11 days",0
387,Inactive,32,Female,Unknown,03 Jul 2017,29 Dec 2017,Involuntary,End of contract,03 Jul 2017,Data & Analytics,,,12480,EUR,,N,,No,"5 months, 26 days",0
384,Inactive,37,Female,Unknown,19 Mar 2018,12 Jul 2018,Voluntary,Personal reasons,19 Mar 2018,Marketing,Brand Marketing,,13824,EUR,,N,,No,"3 months, 24 days",0
620,Inactive,26,Female,Master/Postgraduate,02 Nov 2020,29 Jan 2021,Involuntary,End of contract,02 Nov 2020,Marketing,Demand Generation,544,14400,EUR,New hire,N,E0,No,"6 months, 8 days",0
481,Inactive,35,Male,Unknown,27 Mar 2017,06 Apr 2018,Involuntary,Low Performance,27 Mar 2017,Engineering,,,16000,EUR,New hire,Y,,No,"1 year, 10 days",1
249,Active,27,Female,Undergraduate degree (Grado),19 Aug 2019,,,,15 Apr 2021,Finance & Legal,Legal,280,17200,EUR,Contract change,Y,E1,No,"1 year, 9 months, 9 days",1
451,Inactive,28,Female,Unknown,27 Feb 2017,16 Mar 2018,Involuntary,Low Performance,27 Feb 2017,Finance,,,17600,EUR,,Y,,No,"1 year, 17 days",1
